Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,​Adaptation action,Action description,City Location,Country Location
43907,City of Indianapolis,Indianapolis,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"The city's water utility is in the process of building the Deep Rock Tunnel in order to significantly increase the City’s ability to manage storm and wastewater removal and treatment. The Deep Rock Tunnel is an 18 foot diameter tunnel being built 200 feet below the city that will collect and store stormwater (CSO) for treatment during non-flood conditions. The city’s Wellfield Control Ordinance aims to safeguard drinking water sources in the city’s wellfields by requiring numerous conditions on development and by requiring review of development plans by groundwater professionals. The City is also implementing a 20-year, $320 million storm water capital improvement program to eliminate identified neighborhood flooding and drainage issues. To fund the initiative, a new storm water rate for all properties went into effect in 2015, providing needed funds to perform essential storm water improvement projects. Moreover, the new storm water rate also includes up to a 50% fee reduction for properties that install green infrastructure.","(39.767625, -86.178469)","(37.09024, -95.712891)"
54119,City of Palo Alto,Palo Alto,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Increased community education,"(37.4419, -122.143)","(37.09024, -95.712891)"
54119,City of Palo Alto,Palo Alto,USA,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Infrastructure upgrades, including purple pipe for recycled water","(37.4419, -122.143)","(37.09024, -95.712891)"
54119,City of Palo Alto,Palo Alto,USA,North America,Public,,2017,Flooding,Investment in existing water supply infrastructure,"Siting and mitigation requirements, and development of Sea Level rise strategies","(37.4419, -122.143)","(37.09024, -95.712891)"
54119,City of Palo Alto,Palo Alto,USA,North America,Public,,2017,Regulatory,Municipal water efficiency retrofits,"Building codes, utility incentives. Exploring potential ""net zero water"" code requirements","(37.4419, -122.143)","(37.09024, -95.712891)"
35274,"City of Portland, ME","Portland, ME",USA,North America,Public,,2017,Declining water quality,Stormwater management (natural or man-made infrastructure),"Broad based education programs, restricted access to parts of the lake that serves as the public reservoir, conserving and protecting sensitive areas near the lake and headwaters of brooks and streams.","(43.6615, -70.2553)","(37.09024, -95.712891)"
35274,"City of Portland, ME","Portland, ME",USA,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,Working to ensure adequate capital expenditure to replace aging water lines.,"(43.6615, -70.2553)","(37.09024, -95.712891)"
54128,City of Reno,Reno,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Local water utility asked all of its customers to reduce water usage in 2015 by 10%, customers met this reduction and exceeded it by another 10%, so 20% in total water reduction.","(39.5296, -119.8138)","(37.09024, -95.712891)"
54128,City of Reno,Reno,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),The City has a low-impact development standard and promotes natural drainage.,"(39.5296, -119.8138)","(37.09024, -95.712891)"
58310,City of Roanoke,Roanoke,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,,"(37.271, -79.9414)","(37.09024, -95.712891)"
58310,City of Roanoke,Roanoke,USA,North America,Public,,2017,Declining water quality,Stormwater management (natural or man-made infrastructure),,"(37.271, -79.9414)","(37.09024, -95.712891)"
58310,City of Roanoke,Roanoke,USA,North America,Public,,2017,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),,"(37.271, -79.9414)","(37.09024, -95.712891)"
58310,City of Roanoke,Roanoke,USA,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),,"(37.271, -79.9414)","(37.09024, -95.712891)"
59631,"City of San Leandro, CA","San Leandro, CA",USA,North America,Public,,2017,Increased water stress or scarcity,Water use restrictions,"East Bay Municipal Utilities District (EBMUD) Water Supply Management Program 2040 on page 4-20, Climate Change Sensitivity Analysis Summary, provides following strategy for demand increases:

*Employ potable demand management measures","(37.72493, -122.156077)","(37.09024, -95.712891)"
31154,Bogotá Distrito Capital,Bogotá ,Colombia,Latin America,Public,C40,2017,Declining water quality,Investment in existing water supply infrastructure,* Supply Master Plan Implementation (vulnerability in the system)  * Review and updating of the risk map  * Tibitoc treatment plant optimization,"(4.711, -74.0721)","(4.570868, -74.297333)"
58357,City of West Hollywood,West Hollywood,USA,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"The utility providers are responsible for adjusting water rates and providing reduction incentives.  The City has an active public information program to encourage water conservation. It has created several public service announcements, planted an ocean-friendly drought tolerant demonstration garden, hosted California-friendly and turf removal landscape classes, and is exploring the possibility of a zero net water policy.","(34.09, -118.3617)","(37.09024, -95.712891)"
49335,Metropolitan Government of Nashville and Davidson County,Nashville and Davidson ,USA,North America,Public,,2017,Declining water quality,Watershed preservation,"Watershed preservation AND stormwater management: Metro Water Services is a ONE WATER organization, responsible for water , wastewater and stormwater. The stormwater division manages the 2,478 stream miles in Davidson County under an MS4 permit. They address complaints regarding the dumping of pollutants into storm drains, monitor the condition of creeks and streams, and issue and oversee MWS Grading Permits, and construction related inspections.","(36.1627, -86.7816)","(37.09024, -95.712891)"
49335,Metropolitan Government of Nashville and Davidson County,Nashville and Davidson ,USA,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Water Infrastructure Replacement and Refurbishment Program (WIR)
Program involves replacement or refurbishment on water mains due to age-related condition, water quality concerns, overall system pressure reductions, or reduce fire flows.
FY 2016 Budget is approximately $31.4 million (due to Cumberland City Low Dual Feed project).
Annual average investment is approximately $20 million for the next five years.

Omohundro, KR Harrington, Water Pump Stations, Reservoirs
In the last few years there has been significant investments in upgrades at both water plants including replacing chlorine gas with onsite general of bleach for disinfection, replacing all chemical feed systems, replacing the electrical building and all electrical systems at KRH, refurbishment of the pump house and boiler house at OMO.  Have also done significant upgrades at large water pump stations, and two major water tank rehabilitations, as well as re-construction of a water tank (Ocala).
FY 2016 Budget is approximately $30 million (due to new OMO Electrical Substation)
Annual average investment is approximately $20 million.","(36.1627, -86.7816)","(37.09024, -95.712891)"
